sent_control,sent_no_violation,sent_violation
Corey's hamster explored a nearby backpack and filled it with sawdust.,Corey's hamster lifted a nearby backpack and filled it with sawdust.,Corey's hamster entertained a nearby backpack and filled it with sawdust.
Carrie's parakeet pecked some dirty books piled on the floor.,Carrie's parakeet transported some dirty books piled on the floor.,Carrie's parakeet distracted some dirty books piled on the floor.
John's pet mouse inspected the closest broom before running away.,John's pet mouse stole the closest broom before running away.,John's pet mouse amused the closest broom before running away.
Jill's dog monitored her old truck from the parking lot.,Jill's dog retrieved her old truck from the parking lot.,Jill's dog comforted her old truck from the parking lot.
Jake's gerbil chewed the nearest watermelon after escaping from its cage.,Jake's gerbil moved the nearest watermelon after escaping from its cage.,Jake's gerbil annoyed the nearest watermelon after escaping from its cage.
The sparrow scratched the tall crate and started to tweet loudly.,The sparrow carried the tall crate and started to tweet loudly.,The sparrow frightened the tall crate and started to tweet loudly.
Susan's black cat sniffed a new microwave before stalking away.,Susan's black cat stole a new microwave before stalking away.,Susan's black cat befriended a new microwave before stalking away.
Jennifer's pet rat occupied the larger bookshelf and made itself a nest.,Jennifer's pet rat moved the larger bookshelf and made itself a nest.,Jennifer's pet rat delighted the larger bookshelf and made itself a nest.
The energetic kitten ignored the newest picture of the smiling couple.,The energetic kitten took the newest picture of the smiling couple.,The energetic kitten exhausted the newest picture of the smiling couple.
The kitchen mice overran the nearest dishes and left droppings everywhere.,The kitchen mice collected the nearest dishes and left droppings everywhere.,The kitchen mice scared the nearest dishes and left droppings everywhere.
Elizabeth's cat inspired a new theory because it was so energetic.,Elizabeth's cat examined a new theory because it was so energetic.,Elizabeth's cat soothed a new theory because it was so energetic.
The bunny rabbit occupied the nearest armchair and wriggled its nose.,The bunny rabbit knocked over the nearest armchair and wriggled its nose.,The bunny rabbit distracted the nearest armchair and wriggled its nose.
The teddybear hamster avoided the old cinderblock on the floor.,The teddybear hamster dropped the old cinderblock on the floor.,The teddybear hamster distracted the old cinderblock on the floor.
The small dog guarded the black television and growled ferociously.,The small dog stole the black television and growled ferociously.,The small dog drank the black television and growled ferociously.
The argument inspired a scholarly lecture about Beethoven.,The argument delivered a scholarly lecture about Beethoven.,The argument angered a scholarly lecture about Beethoven.
The heated debate involved a long scarf and some gloves.,The heated debate started a long scarf and some gloves.,The heated debate endured a long scarf and some gloves.
The six month old baby touched the nearest canoe before giggling happily.,The six month old baby lifted the nearest canoe before giggling happily.,The six month old baby surprised the nearest canoe before giggling happily.
Phil's puppy licked the big lawnmower in the garage.,Phil's puppy fetched the big lawnmower in the garage.,Phil's puppy impressed the big lawnmower in the garage.
The go-kart inspired a reckless promise to never drive again.,The go-kart made a reckless promise to never drive again.,The go-kart bumped a reckless promise to never drive again.
Morgan's dog buried the old waterbottle and went to sleep.,Morgan's dog filled the old waterbottle and went to sleep.,Morgan's dog reassured the old waterbottle and went to sleep.
The mouse climbed the small boulder in the field.,The mouse dropped the small boulder in the field.,The mouse startled the small boulder in the field.
The homing pigeon examined the red brick and started pecking violently.,The homing pigeon delivered the red brick and started pecking violently.,The homing pigeon angered the red brick and started pecking violently.
The skunk sprayed the large bulldozer before going back to its nest.,The skunk maneuvered the large bulldozer before going back to its nest.,The skunk intimidated the large bulldozer before going back to its nest.
The colorful parrot climbed a large barbell while squawking loudly.,The colorful parrot carried a large barbell while squawking loudly.,The colorful parrot soothed a large barbell while squawking loudly.
The tall giraffe nibbled the long tightrope strung in the rafters.,The tall giraffe walked the long tightrope strung in the rafters.,The tall giraffe startled the long tightrope strung in the rafters.
The red-tailed hawk pecked the colorful picture and flapped its wings.,The red-tailed hawk captured the colorful picture and flapped its wings.,The red-tailed hawk surprised the colorful picture and flapped its wings.
The argument relied on the small screwdriver that might have been lost.,The argument relied weakened the small screwdriver that might have been lost.,The argument relied angered the small screwdriver that might have been lost.
The goldfish nibbled the silver lunchbox that Sam dropped.,The goldfish caught the silver lunchbox that Sam dropped.,The goldfish startled the silver lunchbox that Sam dropped.
The tiny fish watched the brown rowboat floating in the water.,The tiny fish swallowed the brown rowboat floating in the water.,The tiny fish annoyed the brown rowboat floating in the water.
Suzie's cat watched the dirty automobile parked in front of the house.,Suzie's cat cleaned the dirty automobile parked in front of the house.,Suzie's cat alerted the dirty automobile parked in front of the house.
